source,judge,advocate,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,main_subject
62014CO0092,Levits,Kokott,Order of the Court (Sixth Chamber); 3 July 2014,Sixth Chamber,Liliana Tudoran and Others v SC Suport Colect SRL,Request for a preliminary ruling from the Judecătoria Câmpulung,Reference for a preliminary ruling — Directives 93/13/EEC and 2008/48/EC — Application ratione temporis and ratione materiae — Events occurring prior to the accession of Romania to the European Union — Charter of Fundamental Rights of the European Union — Lack of implementation of EU Law — Manifest lack of jurisdiction — Articles 49 TFEU and 56 TFEU — Manifest inadmissibility,Case C‑92/14,ECLI identifier: ECLI:EU:C:2014:2051,25/02/2014,3/7/2014,Romania,DFON
62012CO0264,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 26 June 2014,Sixth Chamber,  Sindicato Nacional dos Profissionais de Seguros e Afins v Fidelidade Mundial - Companhia de Seguros SA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-264/12,ECLI identifier: ECLI:EU:C:2014:2036,29/05/2012,26/06/2014,Portugal,DFON
62014CO0169,Levits,Wahl,Order of the President of the Court of 5 June 2014,,  Juan Carlos Sánchez Morcillo and María del Carmen Abril García v Banco Bilbao Vizcaya Argentaria SA,  Reference for a preliminary ruling: Audiencia Provincial de Castellón - Spain,  Expedited procedure,  Case C-169/14,ECLI identifier: ECLI:EU:C:2014:1388,7/4/2014,5/6/2014,Spain,DFON
62012CO0128,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 7 March 2013,Sixth Chamber,  Sindicato dos Bancários do Norte and Others v BPN - Banco Português de Negócios SA,  Reference for a preliminary ruling: Tribunal do Trabalho do Porto - Portugal,  Reference for a preliminary ruling - Article 53(2) of the Rules of Procedure - Charter of Fundamental Rights of the European Union - National legislation establishing salary reductions for certain public sector workers - Failure to implement European Union law - Clear lack of jurisdiction of the Court of Justice,  Case C-128/12,ECLI identifier: ECLI:EU:C:2013:149,8/3/2012,7/3/2013,Portugal,DFON
62012CO0264,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 26 June 2014,Sixth Chamber,  Sindicato Nacional dos Profissionais de Seguros e Afins v Fidelidade Mundial - Companhia de Seguros SA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-264/12,ECLI identifier: ECLI:EU:C:2014:2036,29/05/2012,26/06/2014,Portugal,DISC
62013CO0370,Levits,Bot,Order of the Court (Sixth Chamber) of 19 June 2014,Sixth Chamber,  Henryk Teisseyre and Jan Teisseyre v Minister Skarbu Państwa,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-370/13,ECLI identifier: ECLI:EU:C:2014:2033,2/7/2013,19/06/2014,Poland,DISC
62012CO0128,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 7 March 2013,Sixth Chamber,  Sindicato dos Bancários do Norte and Others v BPN - Banco Português de Negócios SA,  Reference for a preliminary ruling: Tribunal do Trabalho do Porto - Portugal,  Reference for a preliminary ruling - Article 53(2) of the Rules of Procedure - Charter of Fundamental Rights of the European Union - National legislation establishing salary reductions for certain public sector workers - Failure to implement European Union law - Clear lack of jurisdiction of the Court of Justice,  Case C-128/12,ECLI identifier: ECLI:EU:C:2013:149,8/3/2012,7/3/2013,Portugal,DISC
62010CO0199,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 22 November 2010,Fifth Chamber,  Secilpar - Sociedade Unipessoal SL v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3); first paragraph; of the Rules of Procedure - Articles 56 EC and 58 EC - Taxation of dividends - Deduction at source - National fiscal legislation which provides for an exemption of dividends paid to resident companies,  Case C-199/10,ECLI identifier: ECLI:EU:C:2010:706,26/04/2010,22/11/2010,Portugal,DISC
62016CO0345,Levits,Szpunar,Order of the Court (Tenth Chamber) of 29 November 2016,Tenth Chamber,Jean Jacob and Dominique Lennertz v État belge,Request for a preliminary ruling from the tribunal de première instance de Liège,Reference for a preliminary ruling — Legislative and factual background to the case in the main proceedings — Insufficient information — Manifestly inadmissible — Article 53(2) — Article 94 of the Court’s Rules of Procedure,Case C-345/16,ECLI identifier: ECLI:EU:C:2016:911,22/06/2016,29/11/2016,Belgium,ETAB
62010CO0199,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 22 November 2010,Fifth Chamber,  Secilpar - Sociedade Unipessoal SL v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3); first paragraph; of the Rules of Procedure - Articles 56 EC and 58 EC - Taxation of dividends - Deduction at source - National fiscal legislation which provides for an exemption of dividends paid to resident companies,  Case C-199/10,ECLI identifier: ECLI:EU:C:2010:706,26/04/2010,22/11/2010,Portugal,ETAB
62007CO0439,Levits,Trstenjak,Order of the Court (Fifth Chamber) of 4 June 2009,Fifth Chamber,Belgische Staat v KBC Bank NV (C-439/07) and Beleggen; Risicokapitaal; Beheer NV v Belgische Staat (C-499/07),References for a preliminary ruling: Hof van Beroep te Brussel and Rechtbank van eerste aanleg te Brugge - Belgium,Article 104(3); first subparagraph; of the Rules of Procedure - Articles 43 EC and 56 EC - Directive 90/435/EEC -Article 4(1) -National legislation designed to prevent double taxation of distributed profits - Deduction of the amount of dividends received from a parent company's basis of assessment only in so far as it has made taxable profits,Joined cases C-439/07 and C-499/07,ECLI identifier: ECLI:EU:C:2009:339,24/09/2007,4/6/2009,Belgium,ETAB
62012CO0037,Levits,Sharpston,Order of the Court (Sixth Chamber) of 21 February 2013,Sixth Chamber,  Saupiquet SAS v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-37/12 P,ECLI identifier: ECLI:EU:C:2013:96,26/01/2012,21/02/2013,France,EXT
62011CO0038,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 18 June 2012,Fifth Chamber,Amorim Energia BV v Ministério das Finanças e da Administração Pública,Reference for a preliminary ruling — Supremo Tribunal Administrativo — Interpretation of Articles 63 TFEU and 65 TFEU — National legislation subjecting dividends distributed to non-resident companies to tax rules less favourable than those applied to dividends distributed to resident companies — Non-resident companies required to have held shares for a longer minimum period and to possess a larger minimum holding,The first subparagraph of Article 104(3) of the Rules of Procedure — Articles 49 TFEU and 54 TFEU — Articles 63 TFEU and 65 TFEU — Directive 90/435/EEC — Article 3(2) — Tax legislation — Corporation tax — Taxation of dividends — Withholding tax — Exemption — Minimum holding in the company distributing dividends — Conditions — Minimum period of uninterrupted share ownership –Conditions — Resident and non-resident recipient companies — Different treatment,Case C‑38/11,ECLI identifier: ECLI:EU:C:2012:358,28/01/2011,18/06/2012,Portugal,FISC
62010CO0199,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 22 November 2010,Fifth Chamber,  Secilpar - Sociedade Unipessoal SL v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3); first paragraph; of the Rules of Procedure - Articles 56 EC and 58 EC - Taxation of dividends - Deduction at source - National fiscal legislation which provides for an exemption of dividends paid to resident companies,  Case C-199/10,ECLI identifier: ECLI:EU:C:2010:706,26/04/2010,22/11/2010,Portugal,FISC
62007CO0439,Levits,Trstenjak,Order of the Court (Fifth Chamber) of 4 June 2009,Fifth Chamber,Belgische Staat v KBC Bank NV (C-439/07) and Beleggen; Risicokapitaal; Beheer NV v Belgische Staat (C-499/07),References for a preliminary ruling: Hof van Beroep te Brussel and Rechtbank van eerste aanleg te Brugge - Belgium,Article 104(3); first subparagraph; of the Rules of Procedure - Articles 43 EC and 56 EC - Directive 90/435/EEC -Article 4(1) -National legislation designed to prevent double taxation of distributed profits - Deduction of the amount of dividends received from a parent company's basis of assessment only in so far as it has made taxable profits,Joined cases C-439/07 and C-499/07,ECLI identifier: ECLI:EU:C:2009:339,24/09/2007,4/6/2009,Belgium,FISC
62017CO0424,Levits,Wathelet,Order of the Court (Tenth Chamber) of 22 November 2017,Tenth Chamber,Vilislav Andreev Kaleychev v European Court of Human Rights,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-424/17 P,ECLI identifier: ECLI:EU:C:2017:884,14/07/2017,22/11/2017,,INST
62017CO0188,Levits,Wathelet,Order of the Court (Tenth Chamber) of 7 September 2017,Tenth Chamber,Slavcho Asenov Todorov v Court of Justice of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-188/17 P,ECLI identifier: ECLI:EU:C:2017:657,12/4/2017,7/9/2017,Bulgaria,INST
62016CO0610,Levits,Bobek,Order of the Court (Tenth Chamber) of 6 April 2017,Tenth Chamber,Anastasia-Soultana Gaki v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-610/16 P,ECLI identifier: ECLI:EU:C:2017:289,24/11/2016,6/4/2017,Germany,INST
62016CO0469,Levits,Wathelet,Order of the Court (Tenth Chamber) of 13 December 2016,Tenth Chamber,Mauro Infante v Italian Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-469/16,ECLI identifier: ECLI:EU:C:2016:953,12/7/2016,13/12/2016,Italy,INST
62015CO0052,Levits,Wathelet,Order of the Court (Sixth Chamber) of 3 September 2015,Sixth Chamber,  Arthur Lambauer v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-52/15 P,ECLI identifier: ECLI:EU:C:2015:549,3/2/2015,3/9/2015,Austria,INST
62011CO0573,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 5 September 2013,Sixth Chamber,  ClientEarth v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-573/11 P,ECLI identifier: ECLI:EU:C:2013:564,10/11/2011,5/9/2013,United Kingdom,INST
62012CO0465,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 21 March 2013,Sixth Chamber,  Plamen Simov v European Commission and Republic of Bulgaria,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-465/12 P,ECLI identifier: ECLI:EU:C:2013:208,10/10/2012,21/03/2013,Bulgaria,INST
62011CO0052,Levits,Bot,Order of the Court (Fifth Chamber) of 26 October 2011,Fifth Chamber,  Fernando Marcelino Victoria Sánchez v European Parliament and European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-52/11 P,ECLI identifier: ECLI:EU:C:2011:693,29/01/2011,26/10/2011,Spain,INST
62011CO0038,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 18 June 2012,Fifth Chamber,Amorim Energia BV v Ministério das Finanças e da Administração Pública,Reference for a preliminary ruling — Supremo Tribunal Administrativo — Interpretation of Articles 63 TFEU and 65 TFEU — National legislation subjecting dividends distributed to non-resident companies to tax rules less favourable than those applied to dividends distributed to resident companies — Non-resident companies required to have held shares for a longer minimum period and to possess a larger minimum holding,The first subparagraph of Article 104(3) of the Rules of Procedure — Articles 49 TFEU and 54 TFEU — Articles 63 TFEU and 65 TFEU — Directive 90/435/EEC — Article 3(2) — Tax legislation — Corporation tax — Taxation of dividends — Withholding tax — Exemption — Minimum holding in the company distributing dividends — Conditions — Minimum period of uninterrupted share ownership –Conditions — Resident and non-resident recipient companies — Different treatment,Case C‑38/11,ECLI identifier: ECLI:EU:C:2012:358,28/01/2011,18/06/2012,Portugal,LCC
62011CO0384,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 12 July 2012,Fifth Chamber,  Tate & Lyle Investments Ltd v Belgische Staat,  Reference for a preliminary ruling: Rechtbank van eerste aanleg te Brussel - Belgium,  The first subparagraph of Article 104(3) of the Rules of Procedure - Article 63 TFEU - Tax legislation - Payment of dividends - Withholding tax - Prevention or mitigation of a series of charges to tax - Different treatment of resident recipient companies and non-resident recipient companies,  Case C-384/11,ECLI identifier: ECLI:EU:C:2012:463,19/07/2011,12/7/2012,Belgium,LCC
62010CO0199,Levits,Mengozzi,Order of the Court (Fifth Chamber) of 22 November 2010,Fifth Chamber,  Secilpar - Sociedade Unipessoal SL v Fazenda Pública,  Reference for a preliminary ruling: Supremo Tribunal Administrativo - Portugal,  Article 104(3); first paragraph; of the Rules of Procedure - Articles 56 EC and 58 EC - Taxation of dividends - Deduction at source - National fiscal legislation which provides for an exemption of dividends paid to resident companies,  Case C-199/10,ECLI identifier: ECLI:EU:C:2010:706,26/04/2010,22/11/2010,Portugal,LCC
62007CO0439,Levits,Trstenjak,Order of the Court (Fifth Chamber) of 4 June 2009,Fifth Chamber,Belgische Staat v KBC Bank NV (C-439/07) and Beleggen; Risicokapitaal; Beheer NV v Belgische Staat (C-499/07),References for a preliminary ruling: Hof van Beroep te Brussel and Rechtbank van eerste aanleg te Brugge - Belgium,Article 104(3); first subparagraph; of the Rules of Procedure - Articles 43 EC and 56 EC - Directive 90/435/EEC -Article 4(1) -National legislation designed to prevent double taxation of distributed profits - Deduction of the amount of dividends received from a parent company's basis of assessment only in so far as it has made taxable profits,Joined cases C-439/07 and C-499/07,ECLI identifier: ECLI:EU:C:2009:339,24/09/2007,4/6/2009,Belgium,LCC
62012CO0037,Levits,Sharpston,Order of the Court (Sixth Chamber) of 21 February 2013,Sixth Chamber,  Saupiquet SAS v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-37/12 P,ECLI identifier: ECLI:EU:C:2013:96,26/01/2012,21/02/2013,France,LCM
62016CO0345,Levits,Szpunar,Order of the Court (Tenth Chamber) of 29 November 2016,Tenth Chamber,Jean Jacob and Dominique Lennertz v État belge,Request for a preliminary ruling from the tribunal de première instance de Liège,Reference for a preliminary ruling — Legislative and factual background to the case in the main proceedings — Insufficient information — Manifestly inadmissible — Article 53(2) — Article 94 of the Court’s Rules of Procedure,Case C-345/16,ECLI identifier: ECLI:EU:C:2016:911,22/06/2016,29/11/2016,Belgium,LCT
62014CO0092,Levits,Kokott,Order of the Court (Sixth Chamber); 3 July 2014,Sixth Chamber,Liliana Tudoran and Others v SC Suport Colect SRL,Request for a preliminary ruling from the Judecătoria Câmpulung,Reference for a preliminary ruling — Directives 93/13/EEC and 2008/48/EC — Application ratione temporis and ratione materiae — Events occurring prior to the accession of Romania to the European Union — Charter of Fundamental Rights of the European Union — Lack of implementation of EU Law — Manifest lack of jurisdiction — Articles 49 TFEU and 56 TFEU — Manifest inadmissibility,Case C‑92/14,ECLI identifier: ECLI:EU:C:2014:2051,25/02/2014,3/7/2014,Romania,LCT
62006CO0438,Levits,Mazák,Order of the Court (Fifth Chamber) of 23 May 2007,Fifth Chamber,  Otmar Greser v Bundesagentur für Arbeit,  Reference for a preliminary ruling: Sozialgericht Würzburg - Germany,  Preliminary reference -Manifest inadmissibility,  Case C-438/06,ECLI identifier: ECLI:EU:C:2007:294,24/10/2006,23/05/2007,Germany,LCT
62014CO0173,Levits,Campos Sânchez-Bordona,Order of the Court (Tenth Chamber) of 8 February 2018,Tenth Chamber,European Medicines Agency v European Dynamics Belgium SA and Others,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-173/14 P-DEP,ECLI identifier: ECLI:EU:C:2018:73,18/07/2017,8/2/2018,United Kingdom; Luxembourg; Greece; Belgium,MARC
62007CO0073,Levits,Kokott,Order of the President of the Court of 12 September 2007,,  Tietosuojavaltuutettu v Satakunnan Markkinapörssi Oy and Satamedia Oy,  Reference for a preliminary ruling: Korkein hallinto-oikeus - Finland,  Reference for a preliminary ruling - Application for leave to intervene - Inadmissibility,  Case C-73/07,ECLI identifier: ECLI:EU:C:2007:507,8/2/2007,12/9/2007,Finland,PDON
62013CO0665,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 21 October 2014,Sixth Chamber,  Sindicato Nacional dos Profissionais de Seguros e Afins v Via Directa - Companhia de Seguros SA,  Reference for a preliminary ruling: Tribunal do Trabalho de Lisboa - Portugal,  Reference for a preliminary ruling - Article 53(2) of the Rules of Procedure - Charter of Fundamental Rights of the European Union - Principles of equal treatment and non-discrimination - National legislation establishing salary reductions for certain public sector employees - No implementation of EU law - Clear lack of jurisdiction of the Court,  Case C-665/13,ECLI identifier: ECLI:EU:C:2014:2327,16/12/2013,21/10/2014,Portugal,PRIN
62012CO0264,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 26 June 2014,Sixth Chamber,  Sindicato Nacional dos Profissionais de Seguros e Afins v Fidelidade Mundial - Companhia de Seguros SA,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-264/12,ECLI identifier: ECLI:EU:C:2014:2036,29/05/2012,26/06/2014,Portugal,PRIN
62012CO0128,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 7 March 2013,Sixth Chamber,  Sindicato dos Bancários do Norte and Others v BPN - Banco Português de Negócios SA,  Reference for a preliminary ruling: Tribunal do Trabalho do Porto - Portugal,  Reference for a preliminary ruling - Article 53(2) of the Rules of Procedure - Charter of Fundamental Rights of the European Union - National legislation establishing salary reductions for certain public sector workers - Failure to implement European Union law - Clear lack of jurisdiction of the Court of Justice,  Case C-128/12,ECLI identifier: ECLI:EU:C:2013:149,8/3/2012,7/3/2013,Portugal,PRIN
62012CO0546(01),Levits,Sharpston,Order of the Court (Tenth Chamber) of 14 June 2017,Tenth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:460,17/10/2016,14/06/2017,Germany,PROC
62012CO0546,Levits,Sharpston,Order of the Court (Tenth Chamber) of 20 July 2016,Tenth Chamber,Jørn Hansson v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:594,10/2/2016,20/07/2016,Germany,PROC
62012CO0546(01),Levits,Sharpston,Order of the Court (Tenth Chamber) of 14 June 2017,Tenth Chamber,Community Plant Variety Office v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2017:460,17/10/2016,14/06/2017,Germany,PROP
62016CO0687,Levits,Saugmandsgaard Øe,Order of the Court (Tenth Chamber) of 7 June 2017,Tenth Chamber,Capella EOOD v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-687/16 P,ECLI identifier: ECLI:EU:C:2017:447,30/12/2016,7/6/2017,Bulgaria,PROP
62016CO0342,Levits,Wathelet,Order of the Court (Tenth Chamber) of 6 December 2016,Tenth Chamber,Novomatic AG v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-342/16 P,ECLI identifier: ECLI:EU:C:2016:931,17/06/2016,6/12/2016,Austria,PROP
62012CO0546,Levits,Sharpston,Order of the Court (Tenth Chamber) of 20 July 2016,Tenth Chamber,Jørn Hansson v Ralf Schräder,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-546/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:594,10/2/2016,20/07/2016,Germany,PROP
62016CO0077,Levits,Campos Sánchez-Bordona,Order of the Court (Tenth Chamber) of 26 May 2016,Tenth Chamber,Hewlett Packard Development Company LP v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-77/16 P,ECLI identifier: ECLI:EU:C:2016:373,11/2/2016,26/05/2016,,PROP
62015CO0232,Levits,Szpunar,Order of the Court (Tenth Chamber) of 21 April 2016,Tenth Chamber,ultra air GmbH v European Union Intellectual Property Office (EUIPO),Appeal — EU trade mark — EU word mark ultra,air ultrafilter — Invalidity proceedings — Absolute ground for refusal or for invalidity — Descriptive character — Regulation (EC) No 207/2009 — Article 7(1)(b) and (c) and Article 52(1)(a) — Declaration of invalidity by the Board of Appeal — Article 181 of the Rules of Procedure of the Court — Appeal in part manifestly inadmissible and in part manifestly unfounded,Case C-232/15 P,ECLI identifier: ECLI:EU:C:2016:299,20/05/2015,21/04/2016,Germany,PROP
62014CO0368,Levits,Sharpston,Order of the Court (Sixth Chamber) of 11 December 2014,Sixth Chamber,  Compagnie des bateaux mouches SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-368/14 P,ECLI identifier: ECLI:EU:C:2014:2480,25/07/2014,11/12/2014,France,PROP
62013CO0448,Levits,Szpunar,Order of the Court (Sixth Chamber) of 12 June 2014,Sixth Chamber,  Delphi Technologies Inc, v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),  Appeals - Community trade mark - Regulation (EC) No 207/2009 - Article 7(1)(b) - Word mark INNOVATION FOR THE REAL WORLD - Advertising slogan - Refusal of registration - No distinctive character,  Case C-448/13 P,ECLI identifier: ECLI:EU:C:2014:1746,5/8/2013,12/6/2014,,PROP
62012CO0393,Levits,Jääskinen,Order of the Court (Sixth Chamber) of 21 March 2013,Sixth Chamber,  Foundation for the Protection of the Traditional Cheese of Cyprus named Halloumi v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-393/12 P,ECLI identifier: ECLI:EU:C:2013:207,22/08/2012,21/03/2013,Cyprus,PROP
62010CO0541,Levits,Jääskinen,Order of the Court (Fifth Chamber) of 30 September 2011,Fifth Chamber,  Quinta do Portal SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-541/10 P,ECLI identifier: ECLI:EU:C:2011:629,18/11/2010,30/09/2011,Portugal,PROP
62010CO0418,Levits,Mazák,Order of the Court (Fifth Chamber) of 28 March 2011,Fifth Chamber,  Herhof-Verwaltungsgesellschaft mbH v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-418/10 P,ECLI identifier: ECLI:EU:C:2011:187,20/08/2010,28/03/2011,Germany,PROP
62008CO0494,Levits,Jääskinen,Order of the Court (Fifth Chamber) of 9 December 2009,Fifth Chamber,  Prana Haus GmbH v Office for Harmonisation in the Internal Market (Trade Marks and Designs),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-494/08 P,ECLI identifier: ECLI:EU:C:2009:759,14/11/2008,9/12/2009,Germany,PROP
62008CO0210,Levits,Mazák,Order of the Court (Fifth Chamber) of 20 January 2009,Fifth Chamber,  Sebirán SL v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-210/08 P,ECLI identifier: ECLI:EU:C:2009:22,19/05/2008,20/01/2009,Spain,PROP
62007CO0497,Levits,Ruiz-Jarabo Colomer,Order of the Court (Fifth Chamber) of 27 June 2008,Fifth Chamber,  Philip Morris Products SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-497/07 P,ECLI identifier: ECLI:EU:C:2008:372,14/11/2007,27/06/2008,Provisional data; Switzerland,PROP
62005CO0235,Levits,Ruiz-Jarabo Colomer,Order of the Court (Fourth Chamber) of 27 April 2006,Fourth Chamber,  L'Oréal SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-235/05 P,ECLI identifier: ECLI:EU:C:2006:271,27/05/2005,27/04/2006,France,PROP
62014CO0381,Levits,Szpunar,Order of the Court (First Chamber) of 29 November 2016,First Chamber,Jorge Sales Sinués and Youssouf Drame Ba v Caixabank SA and Catalunya Caixa SA (Catalunya Banc S,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-381/14 and C-385/14,ECLI identifier: ECLI:EU:C:2016:909,14/04/2016,29/11/2016,Spain,PROT
62014CO0122,Levits,Szpunar,Order of the Court (Tenth Chamber) of 21 June 2016,Tenth Chamber,Aktiv Kapital Portfolio AS; Oslo; succursale à Zug; formerly Aktiv Kapital Portfolio Invesment v Angel Luis Egea Torregrosa,Request for a preliminary ruling from the Juzgado de Primera Instancia de Cartagena,Reference for a preliminary ruling — Directive 93/13/EEC — Unfair terms in consumer contracts — Order for payment procedure — Enforcement proceedings –– Powers of the national court responsible for enforcement to raise of its own motion the fact that the unfair term is invalid –– Principle of effectiveness –– Principle of res judicata),Case C-122/14,ECLI identifier: ECLI:EU:C:2016:486,14/03/2014,21/06/2016,Spain,PROT
62015CO0613,Levits,Szpunar,Order of the Court (Tenth Chamber) of 17 March 2016,Tenth Chamber,Ibercaja Banco SAU v José Cortés González,Request for a preliminary ruling from the Juzgado de Primera Instancia n° 5 de Alcobendas,Reference for a preliminary ruling — Directive 93/13/EEC — Unfair terms in consumer contracts — Mortgage loans — Term relating to default interest — Early repayment term — Power of the national court — Time limit,Case C-613/15,ECLI identifier: ECLI:EU:C:2016:195,20/11/2015,17/03/2016,Spain,PROT
62014CO0090,Levits,Wahl,Order of the Court (Sixth Chamber) of 8 July 2015,Sixth Chamber,Banco Grupo Cajatres SA v María Mercedes Manjón Pinilla and Comunidad Hereditaria formada al fallecimiento de D,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-90/14,ECLI identifier: ECLI:EU:C:2015:465,24/02/2014,8/7/2015,Spain,PROT
62013CO0602,Levits,Wahl,Order of the Court (Sixth Chamber) of 11 June 2015,Sixth Chamber,Banco Bilbao Vizcaya Argentaria; SA v Fernando Quintano Ujeta and María Isabel Sánchez García,Request for a preliminary ruling from the Juzgado de Primera Instancia,Reference for a preliminary ruling — Directive 93/13/EEC — Contractual relationship between a seller or a supplier and a consumer — Mortgage contract — Default interest clause — Early repayment clause — Mortgage enforcement proceedings — Moderation of the amount of interest — Powers of the national court),Case C-602/13,ECLI identifier: ECLI:EU:C:2015:397,25/11/2013,11/6/2015,Spain,PROT
62014CO0092,Levits,Kokott,Order of the Court (Sixth Chamber); 3 July 2014,Sixth Chamber,Liliana Tudoran and Others v SC Suport Colect SRL,Request for a preliminary ruling from the Judecătoria Câmpulung,Reference for a preliminary ruling — Directives 93/13/EEC and 2008/48/EC — Application ratione temporis and ratione materiae — Events occurring prior to the accession of Romania to the European Union — Charter of Fundamental Rights of the European Union — Lack of implementation of EU Law — Manifest lack of jurisdiction — Articles 49 TFEU and 56 TFEU — Manifest inadmissibility,Case C‑92/14,ECLI identifier: ECLI:EU:C:2014:2051,25/02/2014,3/7/2014,Romania,PROT
62014CO0169,Levits,Wahl,Order of the President of the Court of 5 June 2014,,  Juan Carlos Sánchez Morcillo and María del Carmen Abril García v Banco Bilbao Vizcaya Argentaria SA,  Reference for a preliminary ruling: Audiencia Provincial de Castellón - Spain,  Expedited procedure,  Case C-169/14,ECLI identifier: ECLI:EU:C:2014:1388,7/4/2014,5/6/2014,Spain,PROT
62014CO0381,Levits,Szpunar,Order of the Court (First Chamber) of 29 November 2016,First Chamber,Jorge Sales Sinués and Youssouf Drame Ba v Caixabank SA and Catalunya Caixa SA (Catalunya Banc S,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined Cases C-381/14 and C-385/14,ECLI identifier: ECLI:EU:C:2016:909,14/04/2016,29/11/2016,Spain,RAPL
62014CO0122,Levits,Szpunar,Order of the Court (Tenth Chamber) of 21 June 2016,Tenth Chamber,Aktiv Kapital Portfolio AS; Oslo; succursale à Zug; formerly Aktiv Kapital Portfolio Invesment v Angel Luis Egea Torregrosa,Request for a preliminary ruling from the Juzgado de Primera Instancia de Cartagena,Reference for a preliminary ruling — Directive 93/13/EEC — Unfair terms in consumer contracts — Order for payment procedure — Enforcement proceedings –– Powers of the national court responsible for enforcement to raise of its own motion the fact that the unfair term is invalid –– Principle of effectiveness –– Principle of res judicata),Case C-122/14,ECLI identifier: ECLI:EU:C:2016:486,14/03/2014,21/06/2016,Spain,RAPL
